# BEAST v1.10.2
# Generated Sun Dec 02 20:30:11 SAST 2018 [seed=1543775410815]
# -beagle outbreak_25_expo_cauchy10_prior_clock_cp123.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	CP1.nu	CP2.nu	CP3.nu	CP1.mu	CP2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-9829.146519981528	-37.23355012817694	-9791.91296985335	3.3527870363096715	2015.5622814568412	10.47800621791501	1.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.9996735226901731	0.9996735226901731	1.0006535947712418	1.0	1.0	-9791.91296985335	0.0	-24.223196992183777
1000	-5343.704584581567	2.377395804674271	-5346.081980386241	0.25385263652818474	2018.6612158566227	1.8346923072247763	0.5388931764449544	3.089223688893445	8.411653851899294	0.26274188809164006	0.2522229293018996	0.2369788190051301	0.24805636360133024	0.24478926939144605	0.2927443043032804	0.4053627332458892	0.30189296245083036	0.877946189791033	1.215691174533705	0.9062708343376887	0.0916489632393294	0.09164896323932942	-5346.081980386241	0.0	5.5313587648705616
2000	-4953.198324906884	-1.2464331167803486	-4951.951891790104	0.2958043467330789	2018.6192641464177	2.2251390097893284	1.3244436875788037	8.602388365548048	11.029027766115053	0.2912563564058508	0.23871127530277197	0.2275828351590552	0.24244953313232193	0.11766158213050096	0.28785910371321083	0.3309648601930634	0.3811760360937257	0.8632953727422641	0.992570423027581	1.1442755122735178	0.014437136403907742	0.014437136403907744	-4951.951891790104	0.0	2.3489275598687884
3000	-4881.623874423016	-13.554050934546188	-4868.069823488469	0.3992528858774164	2018.5158156072735	3.1809370635385776	4.9986745137475515	13.214870825355094	14.55702635275769	0.30138093838139357	0.23877732371264446	0.24550984200238707	0.21433189590357493	0.11505846216594891	0.2611772299712243	0.33985665970408846	0.3989661103246872	0.7832758845953857	1.0192371126483046	1.1976806174648944	0.008694165006570775	0.00869416500657078	-4868.069823488469	0.0	-8.065100261566698
4000	-4835.811969104345	-3.873195674780687	-4831.938773429564	0.3185055606892757	2018.5965629324614	2.370817106460711	1.6280655667563928	9.1536244858496	14.114715527489821	0.30776834144528414	0.23096415724197597	0.24436161039195253	0.21690589092078735	0.06411511047641323	0.24156849043622763	0.3316843727494536	0.4267471368143188	0.7244688714159933	0.9947282559831803	1.2810781695347493	0.011304343594854173	0.011304343594854173	-4831.938773429564	0.0	0.20413414748218672
5000	-4820.131070273809	-3.0284901926719288	-4817.102580081138	0.3759239723259557	2018.5391445208247	2.4678263508021843	1.543200062727759	8.335532326896287	13.698061183058186	0.302419771980901	0.21295853801714412	0.2608640366370842	0.22375765336487058	0.13783894401340094	0.19906771788106994	0.30308143531262743	0.4978508468063024	0.5970081803641882	0.9089474583029042	1.4945287185499	0.008013859681887128	0.008013859681887125	-4817.102580081138	0.0	0.8013598516475313
6000	-4815.257677271408	-2.0426973695804023	-4813.214979901828	0.3136972579682667	2018.6013712351826	2.2709143589959884	2.148982172967491	11.53481108720046	8.322222976181338	0.2955201730024579	0.22271126099788835	0.2648242979180138	0.21694426808163972	0.3473185179816894	0.2040754770460123	0.2965445285834248	0.4993799943705626	0.612026553099794	0.8893431405704669	1.4991191595712379	0.009024348912775223	0.009024348912775223	-4813.214979901828	0.0	2.0227911663725324
7000	-4816.417686181279	-3.3677538208737623	-4813.049932360405	0.3153491442209604	2018.5997193489297	2.433809884643157	1.5738784961220045	9.284381414117917	4.253487538201025	0.3098585603897517	0.21523125893483583	0.26277113904546845	0.21213904162994393	0.5344113768050246	0.08901097120626117	0.303820912507174	0.6071681162865645	0.26694573343151	0.9111651656189685	1.8226948745779026	0.008162586637528231	0.008162586637528228	-4813.049932360405	0.0	-0.5571002271164671
8000	-4807.776868449096	-9.992153172965095	-4797.784715276131	0.36979808824782545	2018.545270404903	2.8366195365740263	2.828903061883623	9.844515266472316	10.929282033714518	0.31852126564073246	0.21353806559999972	0.2559229408865341	0.21201772787273357	0.7451017888869534	0.04090991744738151	0.3010227217858005	0.6580673607668175	0.12268968386276415	0.9027733340921852	1.9754924104588187	0.009084057458864321	0.00908405745886432	-4797.784715276131	0.0	-4.635904424068756
9000	-4804.922608532318	-6.440268782091469	-4798.482339750227	0.3625592306489806	2018.5525092625019	2.6806834525606846	1.2221421266161292	7.451515880008817	10.511087839665908	0.3175208150285624	0.22368275632071222	0.2482851180974505	0.21051131055327474	0.1413188713854392	0.01992380128522384	0.2861387237684245	0.6939374749463513	0.05975188984853614	0.8581359179029537	2.083173086554635	0.009353843033083915	0.009353843033083913	-4798.482339750227	0.0	-3.3978933387270467
