# BEAST v1.10.2
# Generated Sun Dec 02 20:06:53 SAST 2018 [seed=1543774010328]
# -beagle outbreak_25_expo_uniform_prior_clock_cp123.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	CP1.nu	CP2.nu	CP3.nu	CP1.mu	CP2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-8855.943987499648	-30.123074293186434	-8825.820913206462	1.2634272009411354	2017.6516412922097	5.251938296417879	1.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.9996735226901731	0.9996735226901731	1.0006535947712418	1.0	1.0	-8825.820913206462	0.0	-17.839860994677927
1000	-5094.256707828721	-1.7913232069418745	-5092.465384621779	0.3547447663944343	2018.5603237267565	2.1718013901310895	0.988571749732718	9.126539278728384	5.710782137073574	0.2712956493045667	0.23796000524359812	0.24724259375466165	0.24350175169717359	0.0990180435961848	0.4016671961404455	0.2906684178070159	0.3076643860525386	1.2046081827444115	0.8717205634917559	0.9235964216596796	0.024500575074933688	0.024500575074933702	-5092.465384621779	0.0	4.2621226067321665
2000	-4866.203225000689	-16.31145375025712	-4849.891771250432	0.3531399979054437	2018.5619284952454	3.0259969656106604	1.2835411574086366	6.261609499637345	13.100766456204434	0.29846584408864407	0.2137952431425571	0.25312662198862385	0.23461229078017512	0.0402168309797399	0.40550637738267814	0.25639196632836875	0.3381016562889531	1.2161219662544178	0.7689247805068219	1.0149679132909553	0.009279118345060905	0.009279118345060908	-4849.891771250432	0.0	-9.345513162813528
3000	-4845.777703328843	-11.56603441877081	-4834.211668910072	0.3571751520333586	2018.5578933411175	2.8348869323535135	1.1321699069899702	4.611698829756684	5.556346764548534	0.29640473104918974	0.2231424187304563	0.2683409546712216	0.21211189554913254	0.028972810395002338	0.37069366619149213	0.21263353399551752	0.4166727998129903	1.1117179293617523	0.637692341914079	1.2508354049288004	0.008674950069283144	0.008674950069283142	-4834.211668910072	0.0	-6.238217694026364
4000	-4839.943627084488	-15.39992291569566	-4824.543704168793	0.3324704952429859	2018.582597997908	2.5067929541293172	0.5755112641557619	-2.346744220616973	6.085310236549178	0.3103989918238692	0.21845840357365232	0.2678902647817518	0.20325233982072685	0.11585684250451392	0.2894786639280924	0.25025733170727604	0.4602640043646315	0.8681524671379226	0.7505268851005674	1.3816944915338252	0.008189458947511389	0.008189458947511387	-4824.543704168793	0.0	-10.411138460498501
5000	-4833.122093280527	-11.396244476828134	-4821.725848803699	0.3277330291295682	2018.5873354640212	2.5982975991960577	1.6556673951960212	6.179643785854649	13.27297812068924	0.3014984342531889	0.24178164125118698	0.24359801815950802	0.21312190633611625	0.047607054293572475	0.24711078830223004	0.2638766477474771	0.4890125639502927	0.7410903367105078	0.7913714940281831	1.4679965400154864	0.007866207711822722	0.007866207711822722	-4821.725848803699	0.0	-4.148726422968507
6000	-4827.304777621804	-9.575221744916528	-4817.729555876887	0.3510398621258763	2018.564028631025	2.4453373407956414	0.8834083663169467	2.9886781404071243	17.954153753057078	0.3033955447345218	0.23347044101662145	0.2520358962756754	0.21109811797318143	0.1358000730579356	0.18515358121383585	0.26399240418228187	0.550854014603882	0.5552793983122091	0.7917186499570491	1.653642149722634	0.009001065635847062	0.009001065635847065	-4817.729555876887	0.0	-2.0423208104552097
7000	-4819.141665789377	-10.033058326403426	-4809.108607462974	0.3708731667788761	2018.544195326372	2.6207412867616156	0.431975126633431	0.7581557793966551	15.590853755803542	0.31387978382395626	0.21807289272043295	0.25157070116671054	0.2164766222889002	0.10586711204117105	0.16262414212626516	0.2554988454804065	0.581877012393328	0.4877131471014926	0.7662462927140106	1.7467719724984023	0.009359461574315468	0.009359461574315466	-4809.108607462974	0.0	-3.5933248106978604
8000	-4816.16338606942	-5.975797116759634	-4810.18758895266	0.34838311657176646	2018.566685376579	2.457853695881617	1.2071269246325862	6.722459974033486	7.502705416509794	0.31139020154884	0.2315936771891679	0.2584888361025935	0.19852728515939858	0.28174121219857673	0.08600072395883389	0.2685855187250717	0.6454137573160939	0.2579179400214979	0.8054934949423797	1.9375067891194895	0.007143862425037294	0.007143862425037294	-4810.18758895266	0.0	0.35549452112244606
9000	-4821.707239540744	-14.314064138538077	-4807.393175402206	0.34450238397624894	2018.5705661091745	2.8808989803764047	1.230506119158965	4.407387426845974	10.781891125971226	0.31513515509133594	0.2144603306055188	0.25596745849066305	0.21443705581248212	0.42090188855155386	0.07210870597257318	0.23760016702908285	0.690291126998343	0.21625549234869648	0.7125677878972103	2.0722268930087515	0.006508279449238965	0.0065082794492389694	-4807.393175402206	0.0	-7.1697862838104065
