pos	set	sample	vartype	depth	supportfraction	basecalledfrequency
630		BC10_200x	snp	1184	0.882132	0.809439
802		BC10_200x	snp	424	0.858284	0.710214
813		BC10_200x	snp	421	0.829804	0.686461
1053		BC10_200x	snp	419	0.845848	0.644391
1098		BC10_200x	snp	399	0.898131	0.75179
1482		BC10_200x	snp	407	0.936912	0.796729
1978		BC10_200x	snp	422	0.901943	0.718676
2954		BC10_200x	snp	395	0.904215	0.811414
630	.primertrimmed	BC10_200x	snp	1184	0.887711	0.809439
802	.primertrimmed	BC10_200x	snp	424	0.864183	0.710214
813	.primertrimmed	BC10_200x	snp	421	0.835346	0.686461
1053	.primertrimmed	BC10_200x	snp	419	0.858112	0.644391
1098	.primertrimmed	BC10_200x	snp	399	0.907817	0.75179
1482	.primertrimmed	BC10_200x	snp	407	0.951661	0.796729
1978	.primertrimmed	BC10_200x	snp	422	0.907519	0.718676
2954	.primertrimmed	BC10_200x	snp	395	0.915877	0.811414
